rank,inep_code,school,state,city,school_type,location,students,ch,cn,lc,mt,rd,average_exam
1,23246847,FARIAS BRITO COLEGIO DE APLICACAO,Ceará,Fortaleza,Privada,Urbana,35,692.85,674.5,652.24,845.89,935.43,760.18
2,23246871,ARI DE SA CAVALCANTE SEDE MARIO MAMEDE COLEGIO,Ceará,Fortaleza,Privada,Urbana,33,695.67,676.34,652.91,836.65,915.15,755.34
3,31350664,COLEGIO BERNOULLI,Minas Gerais,Belo Horizonte,Privada,Urbana,280,681.58,668.2,634.47,823.8,906.64,742.94
4,35399197,OBJETIVO COLEGIO INTEGRADO,São Paulo,São Paulo,Privada,Urbana,53,677.45,682.9,638.72,836.11,868.68,740.77
5,31349720,FIBONACCI COLEGIO,Minas Gerais,Ipatinga,Privada,Urbana,57,666.41,657.87,630.84,809.55,938.95,740.72
6,31351725,COLEGUIUM,Minas Gerais,Belo Horizonte,Privada,Urbana,33,676.18,646.74,631.78,817.78,926.67,739.83
7,31004812,COLEGIO SANTO ANTONIO,Minas Gerais,Belo Horizonte,Privada,Urbana,142,665.88,658.94,625.22,830.47,893.38,734.78
8,31128074,COL DE APLICACAO DA UFV - COLUNI,Minas Gerais,Viçosa,Federal,Urbana,153,674.53,647.35,619.84,807.24,916.47,733.09
9,35463279,VITAL BRAZIL COLEGIO,São Paulo,São Paulo,Privada,Urbana,54,665.11,656.84,623.58,787.05,917.04,729.92
10,35141240,VERTICE COLEGIO UNIDADE II,São Paulo,São Paulo,Privada,Urbana,43,674.52,657.56,629.4,785.75,894.42,728.33
11,22025740,INSTITUTO DOM BARRETO,Piauí,Teresina,Privada,Urbana,152,653.2,648.84,626.7,836.14,874.34,727.84
12,23246880,CHRISTUS COLEGIO PRE UNIVERSITARIO,Ceará,Fortaleza,Privada,Urbana,65,664.82,660,626.8,801.18,883.38,727.24
13,33135827,COLEGIO E CURSO PENSI,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,31,658.8,645.99,619.74,783.69,920.65,725.77
14,26124297,COLEGIO DE APLICACAO DO CE DA UFPE,Pernambuco,Recife,Federal,Urbana,52,670.56,632.19,633.13,802.33,890,725.64
15,23235543,ARI DE SA CAVALCANTE COLEGIO - MAJOR FACUNDO,Ceará,Fortaleza,Privada,Urbana,30,677.13,649.87,626.57,798.02,873.33,724.98
16,35154775,ESCOLA VILLARE,São Paulo,São Caetano do Sul,Privada,Urbana,33,652.18,645.08,616.88,827.53,883.03,724.94
17,32040032,CE LEONARDO DA VINCI,Espirito Santo,Vitória,Privada,Urbana,56,655.23,641.83,623.9,789.89,907.86,723.74
18,23564121,ANTARES COLEGIO PRE VESTIBULAR,Ceará,Fortaleza,Privada,Urbana,33,646.84,647.05,618.54,793.81,903.64,721.98
19,31004031,COLEGIO SANTA MARCELINA,Minas Gerais,Belo Horizonte,Privada,Urbana,36,655.09,623.04,620.72,788.25,922.22,721.87
20,24097004,COLEGIO CIENCIAS APLICADAS,Rio Grande do Norte,Natal,Privada,Urbana,52,656.41,652.15,622.21,768.82,909.62,721.84
21,23272333,FARIAS BRITO COLEGIO PRE-VESTIBULAR CENTRAL,Ceará,Fortaleza,Privada,Urbana,61,649.21,636.21,618.87,806.72,896.72,721.55
22,33040516,COLEGIO IPIRANGA,Rio de Janeiro,Petrópolis,Privada,Urbana,27,655.66,633.59,619.04,814.72,879.26,720.45
